"","health_outcomes_rank","health_factors_rank","life_length_rank","life_quality_rank","health_behav_rank","clinical_care_rank","socio_econ_fact_rank","physical_env_rank","County"
"109",2.42857142857143,1.42857142857143,2.28571428571429,2.57142857142857,2.57142857142857,3.57142857142857,1.71428571428571,2.85714285714286,45
"110",9,9.14285714285714,9.14285714285714,8,8.42857142857143,9.14285714285714,8.85714285714286,7.28571428571429,46
"111",4.42857142857143,4.28571428571429,4.28571428571429,5,4.28571428571429,6.14285714285714,4.14285714285714,9.57142857142857,47
"112",4.85714285714286,5.71428571428571,3.28571428571429,6.57142857142857,8.57142857142857,4.28571428571429,4.57142857142857,2.57142857142857,48
"113",8.71428571428571,7.14285714285714,7.71428571428571,8.71428571428571,8.71428571428571,2.71428571428571,7.57142857142857,4.71428571428571,49
"114",7,5.85714285714286,5.71428571428571,8.85714285714286,7.14285714285714,7.14285714285714,5,3.14285714285714,50
"115",6.14285714285714,4.57142857142857,5,7,8,2.42857142857143,4.71428571428571,5.14285714285714,51
"116",1,1,1.28571428571429,1.14285714285714,1,1.85714285714286,1,1,52
"117",7.57142857142857,5.28571428571429,8.57142857142857,5.14285714285714,7.57142857142857,5.85714285714286,5.28571428571429,1.85714285714286,53
"118",2.57142857142857,9.42857142857143,2.85714285714286,2,6.28571428571429,5.57142857142857,9.71428571428571,4.42857142857143,54
"119",6,4.71428571428571,5.57142857142857,6,9.14285714285714,3.42857142857143,3.57142857142857,5.28571428571429,55
"120",5.71428571428571,8.14285714285714,6.71428571428571,4.42857142857143,7.28571428571429,8.71428571428571,7.71428571428571,2.42857142857143,56
"121",3.42857142857143,4.14285714285714,3.57142857142857,3.85714285714286,5.28571428571429,7.71428571428571,3.71428571428571,3.85714285714286,57
"122",1.57142857142857,6.71428571428571,1.71428571428571,1.71428571428571,8.85714285714286,9.71428571428571,2.14285714285714,7.57142857142857,58
"123",9.57142857142857,9,9.42857142857143,8.28571428571428,9.85714285714286,6.71428571428571,8.28571428571428,4,59
"124",7.28571428571429,5.57142857142857,7.85714285714286,5.85714285714286,6.85714285714286,2.85714285714286,6.42857142857143,7.14285714285714,60
"125",9.28571428571428,2.71428571428571,9,9.85714285714286,2.28571428571429,5,4.28571428571429,1.42857142857143,61
"126",3,9.28571428571428,3.14285714285714,2.85714285714286,5,10,9.28571428571428,3.28571428571429,62
"127",3.71428571428571,2.14285714285714,7.42857142857143,1,1.57142857142857,5.14285714285714,3.14285714285714,3,63
"128",5.57142857142857,6.57142857142857,4.85714285714286,6.85714285714286,3.71428571428571,9.28571428571428,6.28571428571429,5.71428571428571,64
"129",7.42857142857143,4.57142857142857,7.85714285714286,5.71428571428571,4.42857142857143,5,4.85714285714286,2.42857142857143,1
"130",6.71428571428571,7.42857142857143,5.85714285714286,8,7.57142857142857,8.85714285714286,5.85714285714286,5.28571428571429,2
"131",1.28571428571429,1.42857142857143,1.42857142857143,1.57142857142857,1.42857142857143,2.14285714285714,1.57142857142857,9.85714285714286,3
"132",6.42857142857143,5.28571428571429,3.28571428571429,10,3.28571428571429,3.57142857142857,7.57142857142857,9.57142857142857,4
"133",6.57142857142857,8.57142857142857,6.42857142857143,7.42857142857143,9,6.71428571428571,6.85714285714286,7.42857142857143,5
"134",3.71428571428571,3.14285714285714,5,3.42857142857143,6.14285714285714,4.14285714285714,1.85714285714286,6.71428571428571,6
"135",8.85714285714286,8.28571428571428,8.85714285714286,7,9.85714285714286,7.14285714285714,5.14285714285714,5.42857142857143,7
"136",1.57142857142857,2.42857142857143,1.14285714285714,3.14285714285714,4,2.57142857142857,2.42857142857143,7.14285714285714,8
"137",6.14285714285714,3.57142857142857,6.57142857142857,6,3.14285714285714,1.14285714285714,6.57142857142857,9,9
"138",5,3,7.28571428571429,3.57142857142857,4.85714285714286,1.71428571428571,2.71428571428571,8,10
"139",3.42857142857143,7,4.14285714285714,3,8.28571428571428,9.14285714285714,5.42857142857143,1.28571428571429,11
"140",1.85714285714286,2,2.57142857142857,1.71428571428571,1.71428571428571,6.28571428571429,1.42857142857143,8.28571428571428,12
"141",8.42857142857143,9.28571428571428,6.14285714285714,9.71428571428571,8.42857142857143,8.28571428571428,9.28571428571428,8.85714285714286,13
"142",3.57142857142857,8,4.71428571428571,3.85714285714286,6.42857142857143,7.85714285714286,8.14285714285714,3.28571428571429,14
"143",9.85714285714286,8.42857142857143,9.85714285714286,9.28571428571428,3.71428571428571,7.71428571428571,9.14285714285714,1.85714285714286,15
"144",6.85714285714286,7.85714285714286,5.42857142857143,9.14285714285714,9.42857142857143,6.85714285714286,5.28571428571429,6.28571428571429,16
"145",3.28571428571429,1.57142857142857,4.28571428571429,2.71428571428571,1.28571428571429,1,4,8.57142857142857,17
"146",10,10,10,8.85714285714286,8.57142857142857,9.57142857142857,10,4.28571428571429,18
"147",5.71428571428571,6.28571428571429,8.42857142857143,2.42857142857143,7.14285714285714,6.57142857142857,5,9.14285714285714,19
"148",7,7.14285714285714,6.28571428571429,8.14285714285714,5.71428571428571,8.42857142857143,6.71428571428571,6.85714285714286,20
"149",7.85714285714286,9.71428571428571,7.42857142857143,7.71428571428571,10,8.71428571428571,8.85714285714286,3.71428571428571,21
"150",8,5.71428571428571,8.14285714285714,6.85714285714286,7.42857142857143,6,3.28571428571429,10,22
"151",3.85714285714286,4.85714285714286,4,4,4.28571428571429,3,6.42857142857143,7.28571428571429,23
"152",5.28571428571429,6.85714285714286,3.71428571428571,8.28571428571428,3.42857142857143,3.85714285714286,8.57142857142857,9.71428571428571,24
"153",3.14285714285714,4,2.14285714285714,6.42857142857143,5.14285714285714,7,3,2.57142857142857,25
"154",2.85714285714286,2.14285714285714,3.14285714285714,2.57142857142857,2.28571428571429,2,3.71428571428571,4.14285714285714,26
"155",8.28571428571428,4.28571428571429,8.28571428571428,7.14285714285714,8.14285714285714,4.42857142857143,2.85714285714286,4,27
"156",1.71428571428571,1.28571428571429,2.28571428571429,1.42857142857143,2,1.28571428571429,2.28571428571429,2.85714285714286,29
"157",2,2.57142857142857,2,2.85714285714286,5.28571428571429,2.85714285714286,1.71428571428571,8.71428571428571,30
"158",1.14285714285714,4.14285714285714,1.71428571428571,1.14285714285714,3,9.42857142857143,2.57142857142857,8.14285714285714,28
"159",2.14285714285714,2.28571428571429,1.85714285714286,3.28571428571429,1.85714285714286,3.14285714285714,4.14285714285714,1.14285714285714,31
"160",2.71428571428571,2.85714285714286,3.57142857142857,2.28571428571429,3.85714285714286,5.14285714285714,2,7.71428571428571,32
"161",9.14285714285714,9.85714285714286,9.28571428571428,5.42857142857143,9.28571428571428,9.28571428571428,9.71428571428571,3,33
"162",9.28571428571428,9,8.71428571428571,9.57142857142857,7.28571428571429,6.14285714285714,9.57142857142857,7,34
