Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2010,22065,Louisiana,Madison,2010,64,61,64,51,57,32,61,28,271,16357,,,,,,,,21,3.1,23,9,33,,14,141,62,,,37,,13,8,47,,,,,33,,,,,,,,9,,,,,0,,,,,,,,,
2010,22067,Louisiana,Morehouse,2010,57,62,55,56,52,31,62,52,534,12657,,,,,,,,23,4.7,25,9,33,,16,396,70,,,60,,12,9,49,,,,27,14,,,,,,,,9,,,,,0.7,,,,,,,,,
2010,22069,Louisiana,Natchitoches,2010,39,34,40,39,14,30,50,43,567,11450,,,,,,,,21,3.9,20,13,31,,21,311,77,,,53,,20,6,50,,,,28,13,,,,,,,,13,,,,,0.3,,,,,,,,,
2010,22071,Louisiana,Orleans,2010,59,47,62,47,11,1,63,53,6807,14216,,,,,,,,17,3.5,22,17,28,,20,1879,72,,,13,,29,6,54,,,,26,22,,,,,,,,17,,,,,0.8,,,,,,,,,
2010,22073,Louisiana,Ouachita,2010,21,19,14,26,13,9,35,55,1981,9823,,,,,,,,17,3.1,24,11,28,,19,1514,71,,,63,,22,5,49,,,,24,26,,,,,,,,11,,,,,0.7,,,,,,,,,
2010,22075,Louisiana,Plaquemines,2010,13,15,10,20,16,34,17,37,341,9221,,,,,,,,22,4.5,22,14,31,,22,135,80,,,55,,12,4,39,,,,,20,,,,,,,,14,,,,,0,,,,,,,,,
2010,22077,Louisiana,Pointe Coupee,2010,22,27,22,24,29,20,39,45,343,10045,,,,,,,,14,3.6,22,17,31,,23,198,83,,,53,,13,5,50,,,,19,50,,,,,,,,17,,,,,0,,,,,,,,,
2010,22079,Louisiana,Rapides,2010,32,12,34,28,20,3,22,32,1991,11050,,,,,,,,21,3.7,24,10,30,,17,1433,78,,,69,,19,4,48,,,,24,26,,,,,,,,10,,,,,0.5,,,,,,,,,
2010,22081,Louisiana,Red River,2010,43,58,50,27,51,56,55,39,159,12412,,,,,,,,20,3.7,,,32,,22,101,53,,,60,,10,7,49,,,,,50,,,,,,,,,,,,,1.1,,,,,,,,,
2010,22083,Louisiana,Richland,2010,48,50,52,40,56,38,42,30,338,12431,,,,,,,,19,3.5,25,9,34,,19,272,62,,,58,,12,6,45,,,,,40,,,,,,,,9,,,,,0.5,,,,,,,,,
